movie_code,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating,Production_company,Genre,IMDb_code,year_released,month_released,day_released
41446,Scream 4,97200000,40000000,111,97200000,R,"Dimension Films, Outerbanks Entertainment","Horror, Mystery",tt1262416,2011,04,13
452,The Idiots,7200,2500000,114,7200,R,"Zentropa Entertainments, DR TV, La Sept Cinéma, Liberator Productions, VPRO, Argus Film Produktie, ZDF/Arte","Comedy, Drama",tt0154421,1998,04,28
740985,Borat Subsequent Moviefilm,0,0,96,0,R,"Four by Two, Oak Springs Productions",Comedy,tt13143964,2020,10,23
258099,Just Before I Go,0,0,95,0,R,"Coquette Productions, New Artists Alliance","Comedy, Drama, Romance",tt2980472,2015,04,24
115290,Blue Lagoon: The Awakening,0,0,85,0,R,"PeaceOut Productions, Silver Screen Pictures, Sony Pictures Television Studios, Storyline Entertainment, Lifetime","Drama, Adventure, Romance, TV Movie",tt2287663,2012,06,16
23963,Pontypool,32000,1500000,97,32000,R,"Ponty Up Pictures, Shadow Shows","Horror, Mystery, Science Fiction",tt1226681,2009,03,06
11326,Tommy,34300000,5000000,111,34300000,R,"Robert Stigwood Organization, Hemdale",Drama,tt0073812,1975,03,19
15567,Stitch! The Movie,0,0,60,0,R,Disney Television Animation,"Comedy, Adventure, Family, Animation",tt0348124,2003,08,26
374617,Imperium,302109,0,109,302109,R,"Tycor International Film Company, Grindstone Entertainment Group, Sculptor Media, Green-Light International, Atomic Features","Crime, Drama",tt4781612,2016,08,19
616037,Thor: Love and Thunder,760900000,250000000,119,760900000,R,"Marvel Studios, Kevin Feige Productions","Fantasy, Action, Comedy",tt10648342,2022,07,06
582883,Deerskin,1686700,0,77,1686700,R,"Atelier de Production, ARTE France Cinéma, Nexus Factory, uMedia, Garidi Films","Comedy, Horror",tt8193790,2019,06,19
441183,Light of My Life,0,0,119,0,R,"Black Bear Pictures, Sea Change Media","Science Fiction, Drama",tt6063090,2019,08,09
396398,The Meyerowitz Stories,0,0,112,0,R,"Gilded Halfwing, IAC Films","Comedy, Drama",tt5536736,2017,10,13
924482,The Ledge,0,2500000,86,0,R,"Head Gear Films, Metrol Technology, Kreo Films, Trigger Films, Red Production, Evolution Pictures","Thriller, Adventure",tt6805938,2022,02,18
339397,Café Society,43763247,30000000,97,43763247,R,"Perdido Productions, Gravier Productions, FilmNation Entertainment","Comedy, Drama, Romance",tt4513674,2016,05,11
9404,Police Story 4: First Strike,53000000,1500000,107,53000000,R,Orange Sky Golden Harvest,"Action, Adventure, Comedy, Crime, Drama, Thriller",tt0116704,1996,02,10
482,Shaft,12121618,1125000,100,12121618,R,"Shaft Productions, Metro-Goldwyn-Mayer","Action, Crime, Thriller",tt0067741,1971,06,25
625568,Unhinged,39238300,33000000,90,39238300,R,"Solstice Studios, Burek Films, Ingenious Media, Altitude Film Entertainment","Action, Thriller",tt10059518,2020,07,16
621151,Spell,500104,0,91,500104,R,"Paramount Players, LINK Entertainment, MC8 Entertainment, Radar Pictures","Thriller, Horror, Fantasy",tt10736580,2020,10,30
566454,The Mystery of Henri Pick,0,0,101,0,R,"Gaumont, France 2 Cinéma, SCOPE Pictures, Mandarin Production","Drama, Comedy",tt8263936,2019,03,06
10576,Psycho II,34725000,5000000,113,34725000,R,"Universal Pictures, Oak","Horror, Mystery, Thriller",tt0086154,1983,06,03
9593,Last Action Hero,137300000,85000000,131,137300000,R,"Oak Productions, Columbia Pictures","Adventure, Fantasy, Action, Comedy, Family",tt0107362,1993,06,18
309304,Grandma,7200000,600000,78,7200000,R,"1821 Pictures, Depth of Field","Comedy, Drama",tt4270516,2015,06,04
8224,8MM,96618699,40000000,123,96618699,R,"Global Medien KG, Hofflund/Polone, Columbia Pictures","Thriller, Crime, Mystery",tt0134273,1999,02,26
726209,Leave the World Behind,0,0,142,0,R,"Esmail Corp, Red Om Films, Higher Ground","Drama, Mystery, Thriller",tt12747748,2023,11,22
653598,Spree,43840,0,93,43840,R,"DreamCrew, Forest Hill Entertainment, SuperBloom Films, Particular Crowd, Vertigo Films","Comedy, Crime, Horror",tt11394332,2020,08,14
537739,Can You Keep a Secret?,1400000,0,94,1400000,R,"BCDF Pictures, Big Indie Pictures","Romance, Comedy",tt8707922,2019,09,13
420634,Terrifier,416300,100000,85,416300,R,Dark Age Cinema,"Horror, Thriller",tt4281724,2018,01,25
240832,Lucy,458863600,40000000,89,458863600,R,"EuropaCorp, Canal+, Ciné+, TF1 Films Production","Action, Science Fiction",tt2872732,2014,07,25
119569,Marvel One-Shot: Item 47,0,0,12,0,R,Marvel Studios,"Science Fiction, Action, Fantasy",tt2247732,2012,08,29
82654,Warm Bodies,117000000,35000000,97,117000000,R,"Summit Entertainment, Mandeville Films","Horror, Comedy, Romance",tt1588173,2013,01,31
