IMDb_code,movie_code,year_review,month_review,day_review,rating_of_movie,ave_review_len,review_count,Title,Revenue,Budget,Runtime,Opening_weekend_US,Rating
tt2935510,419704,2019,09,19,8.0,869.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2019,10,09,7.0,3290.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2019,12,29,5.0,156.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2020,01,16,8.0,654.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2020,01,27,8.0,771.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2020,03,08,5.0,57.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2020,03,27,8.0,374.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2020,04,05,5.0,29.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2020,08,21,10.0,21.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2022,03,28,5.0,158.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2935510,419704,2023,01,12,1.0,199.0,1,Ad Astra,127461872,87500000,123,127461872,R
tt2937366,346671,2018,01,24,4.0,69.0,1,Little Evil,0,0,94,0,R
tt2937366,346671,2018,02,04,5.0,243.0,1,Little Evil,0,0,94,0,R
tt2937696,295699,2016,09,12,6.0,60.0,1,Everybody Wants Some!!,3400278,10000000,116,3400278,R
tt2937696,295699,2016,11,23,7.0,334.0,1,Everybody Wants Some!!,3400278,10000000,116,3400278,R
tt2937898,241239,2022,11,25,8.0,210.0,1,A Most Violent Year,12007070,20000000,124,12007070,R
tt2938956,287948,2015,12,03,0.5,24.0,1,The Transporter Refueled,72629670,25000000,95,72629670,R
tt2938956,287948,2016,02,04,4.0,234.0,1,The Transporter Refueled,72629670,25000000,95,72629670,R
tt2938956,287948,2017,07,18,6.0,43.0,1,The Transporter Refueled,72629670,25000000,95,72629670,R
tt2938956,287948,2022,12,16,3.0,138.0,1,The Transporter Refueled,72629670,25000000,95,72629670,R
tt2944198,228973,2017,04,26,5.0,216.0,1,Backcountry,0,0,92,0,R
tt2944198,228973,2019,01,20,5.0,51.0,1,Backcountry,0,0,92,0,R
tt2944198,228973,2019,03,01,7.0,320.0,1,Backcountry,0,0,92,0,R
tt2948356,269149,2016,03,12,9.0,74.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2016,06,04,8.0,424.0,1,Zootopia,1023784195,150000000,109,1023784195,R
tt2948356,269149,2016,08,07,10.0,205.0,1,Zootopia,1023784195,150000000,109,1023784195,R
